Medicamento,25.5,Aspirina,100,2023-12-31,10,Farmácia UPE
Cosmético,15.0,Shampoo,50,2023-10-15,15,Beleza Cosméticos
Medicamento,12.75,Ibuprofeno,80,2023-11-30,8,Farmácia XYZ
Cosmético,30.0,Perfume,20,2024-05-20,20,Perfumes Deluxe
Medicamento,8.99,Paracetamol,120,2023-09-30,9,Farmácia Saúde
Cosmético,10.5,Creme Hidratante,60,2023-08-10,18,UPE Cosméticos
Medicamento,18.25,Vitamina C,40,2023-12-15,7,Farmácia ABC
Cosmético,5.0,Sabonete,90,2023-07-05,10,Beleza Cosméticos
Medicamento,30.75,Analgésico,70,2023-10-31,6,Farmácia Saúde
Cosmético,22.0,Máscara Facial,30,2024-03-25,12,Beleza Cosméticos
